"Message",Low,"Starting .NET Native compilation"
"Message",Low,""
"Message",Low,""
"Message",Low,"Task ""Gatekeeper"""
"Message",Normal,"Launching 'C:\Users\jessi\.nuget\packages\microsoft.net.native.compiler\1.7.6\tools\x86\ilc\Tools\Gatekeeper.exe @""C:\Users\jessi\Documents\GitHub\MultiAngleVideoPlayer\MultiAngleVideoPlayer\MultiAngleVideoPlayer\obj\x86\Release\ilc\intermediate\gkargs.rsp""'"
"Message",Low,"Microsoft (R) .NET Native Gatekeeper Version 1.7.27420.00 "
"Message",Low,"Copyright (C) Microsoft Corporation.  All rights reserved. "
"Message",Low," "
"Message",Low,"Checking assembly 'C:\Users\jessi\Documents\GitHub\MultiAngleVideoPlayer\MultiAngleVideoPlayer\MultiAngleVideoPlayer\obj\x86\Release\ilc\in\MultiAngleVideoPlayer.exe'. "
"Message",Low,"Checking assembly 'C:\Users\jessi\Documents\GitHub\MultiAngleVideoPlayer\MultiAngleVideoPlayer\MultiAngleVideoPlayer\obj\x86\Release\ilc\in\Newtonsoft.Json.dll'. "
"Message",Normal,"'C:\Users\jessi\.nuget\packages\microsoft.net.native.compiler\1.7.6\tools\x86\ilc\Tools\Gatekeeper.exe @""C:\Users\jessi\Documents\GitHub\MultiAngleVideoPlayer\MultiAngleVideoPlayer\MultiAngleVideoPlayer\obj\x86\Release\ilc\intermediate\gkargs.rsp""' completed."
"Message",Normal,"Process execution statistics (all times in milliseconds)"
"Message",Normal,"-----------------------------------------------------------------------------"
"Message",Normal,"launch  |  start   |   stop   |   end    | duration | lifetime | [slot] name"
"Message",Normal,"-----------------------------------------------------------------------------"
"Message",Normal,"       0 |       78 |     1203 |     1203 |     1125 |     1203 | [0] Gatekeeper"
"Message",Normal,"Number of commands:      1"
"Message",Normal,"Total system time:       1203 ms"
"Message",Normal,"System time per command: 1203 ms"
"Message",Normal,"Total duration:          1125 ms"
"Message",Normal,"Total lifetime:          1203 ms"
"Message",Normal,"Requested DOP:           8"
"Message",Normal,"Duration DOP:            0.9"
"Message",Normal,"Lifetime DOP:            1.0"
"Message",Low,"Done executing task ""Gatekeeper""."
"Message",Low,"Done building target ""RunGatekeeper"" in file ""Preparation""."
"Message",Low,""
"Message",Low,"Task ""InjectWindowsRuntimeTypeForwards"""
"Message",Normal,"Running 'InjectWindowsRuntimeTypeForwards' transform, heap at 14 MB."
"Message",Normal,"Running 'WriteAssemblies' transform, heap at 18 MB."
"Message",Normal,""
"Message",Normal,"Transform summary"
"Message",Normal,"    ms | heap delta | name"
"Message",Normal,"   909 |          4 | InjectWindowsRuntimeTypeForwards"
"Message",Normal,"   549 |          2 | WriteAssemblies"
"Message",Low,"Done executing task ""InjectWindowsRuntimeTypeForwards""."
"Message",Low,"Done building target ""InjectWindowRuntimeTypeForwards"" in file ""Preparation""."
"Message",Low,""
"Message",Low,"Task ""PreResolveAssemblyClosure"""
"Message",Low,"Done executing task ""PreResolveAssemblyClosure""."
"Message",Low,"Task ""PreResolveTransforms"""
"Message",Normal,"Running 'ResolveSelfReferences' transform, heap at 30 MB."
"Message",Normal,"Running 'RemoveDuplicateMembers' transform, heap at 43 MB."
"Message",Normal,"Running 'PortableLib' transform, heap at 43 MB."
"Message",Normal,"Running 'WriteAssemblies' transform, heap at 81 MB."
"Message",Normal,""
"Message",Normal,"Transform summary"
"Message",Normal,"    ms | heap delta | name"
"Message",Normal,"   420 |        -45 | WriteAssemblies"
"Message",Normal,"   384 |         13 | ResolveSelfReferences"
"Message",Normal,"   294 |         38 | PortableLib"
"Message",Normal,"     1 |          0 | RemoveDuplicateMembers"
"Message",Low,"Done executing task ""PreResolveTransforms""."
"Message",Low,"Done building target ""PreResolveTransforms"" in file ""Preparation""."
"Message",Low,""
"Message",Low,"Task ""InitialAssemblyClosure"""
"Message",Low,"Done executing task ""InitialAssemblyClosure""."
"Message",Low,"Task ""ResolveInitialReferencesAssemblyClosure1"""
"Message",Low,"Done executing task ""ResolveInitialReferencesAssemblyClosure1""."
"Message",Low,"Task ""ResolveInitialReferencesAssemblyClosure2"""
"Message",Low,"Done executing task ""ResolveInitialReferencesAssemblyClosure2""."
"Message",Low,"Done building target ""ResolveInitialReferences"" in file ""Preparation""."
"Message",Low,"Done building project ""Preparation""."
"Message",Low,""
"Message",Low,""
"Message",High,"Processing application code"
"Message",Low,"Task ""ValidateSimpleNames"""
"Message",Low,"Done executing task ""ValidateSimpleNames""."
"Message",Low,"Task ""McgContractsResolveFilePath"""
"Message",Low,"Done executing task ""McgContractsResolveFilePath""."
"Message",Low,"Task ""McgFacadeResolveFilePath"""
"Message",Low,"Done executing task ""McgFacadeResolveFilePath""."
"Message",Low,"Task ""FinalAssemblyClosureRootsResolveFilePaths"""
"Message",Low,"Done executing task ""FinalAssemblyClosureRootsResolveFilePaths""."
"Message",Low,"Task ""FinalAssemblyClosure"""
"Message",Low,"Done executing task ""FinalAssemblyClosure""."
"Message",Low,"Task ""RunILTransforms"""
"Message",Normal,"Running 'Analysis' transform, heap at 55 MB."
"Message",Low,"Loading 77 modules..."
"Message",Normal,"Imported reflection directives from 15 files:"
"Message",Normal,"C:\Users\jessi\Documents\GitHub\MultiAngleVideoPlayer\MultiAngleVideoPlayer\MultiAngleVideoPlayer\obj\x86\Release\ilc\in\Properties\Default.rd.xml"
"Message",Normal,"Embedded manifest in System.Diagnostics.Tracing: Resources.System.Diagnostics.Tracing.rd.xml"
"Message",Normal,"Embedded manifest in System.Private.Reflection: System.Private.Reflection.rd.xml"
"Message",Normal,"Embedded manifest in System.Private.CoreLib: Resources.System.Private.CoreLib.rd.xml"
"Message",Normal,"Embedded manifest in System.Private.Uri: Resources.System.Private.Uri.rd.xml"
"Message",Normal,"Embedded manifest in System.Private.Reflection.Core: System.Private.Reflection.Core.rd.xml"
"Message",Normal,"Embedded manifest in System.Xml.XDocument: System.Xml.Resources.System.Xml.XDocument.rd.xml"
"Message",Normal,"Embedded manifest in System.Runtime.Serialization.Primitives: System.Runtime.Serialization.Primitives.Resources.System.Runtime.Serialization.Primitives.rd.xml"
"Message",Normal,"Embedded manifest in System.Xml.ReaderWriter: System.Xml.Resources.System.Xml.ReaderWriter.rd.xml"
"Message",Normal,"Embedded manifest in System.Dynamic.Runtime: Resources.System.Dynamic.Runtime.rd.xml"
"Message",Normal,"Embedded manifest in System.Linq.Expressions: Resources.System.Linq.Expressions.rd.xml"
"Message",Normal,"Embedded manifest in Microsoft.CSharp: Microsoft.CSharp.Resources.Microsoft.CSharp.rd.xml"
"Message",Normal,"Embedded manifest in System.Private.PortableThunks: Resources.System.Private.PortableThunks.rd.xml"
"Message",Normal,"Embedded manifest in System.Private.Interop: Resources.System.Private.Interop.rd.xml"
"Message",Normal,"Newtonsoft.Json"
"Message",Normal,"Imported XAML Roots from 1 files:"
"Message",Normal,"C:\Users\jessi\Documents\GitHub\MultiAngleVideoPlayer\MultiAngleVideoPlayer\MultiAngleVideoPlayer\obj\x86\Release\ilc\in\MultiAngleVideoPlayer.xr.xml"
"Message",Normal,"Running 'Mcg' transform, heap at 196 MB."
"Message",High,"Computing application closure and generating interop code"
"Message",Normal,"  List of .lib files:"
"Message",Normal,"      WindowsApp.lib"
"Message",Normal,"      winsqlite3.lib"
"Message",Normal,"  List of .lib search paths:"
"Message",Normal,"      C:\Program Files (x86)\Windows Kits\10\lib\10.0.17763.0\um\x86"
"Message",Normal,"  Loading exports from libs..."
"Message",Normal,"      3219 exports read from 'C:\Program Files (x86)\Windows Kits\10\lib\10.0.17763.0\um\x86\WindowsApp.lib'."
"Message",Normal,"      248 exports read from 'C:\Program Files (x86)\Windows Kits\10\lib\10.0.17763.0\um\x86\winsqlite3.lib'."
"Message",High,"  Loading 77 modules..."
"Message",Normal,"          P/Invoke 'RhWaitForPendingFinalizers' with [DllImport(ExactSpelling=true)] resolved to '[MRT]!RhWaitForPendingFinalizers'."
"Message",Normal,"          P/Invoke 'RhYield' with [DllImport(ExactSpelling=true)] resolved to '[MRT]!RhYield'."
"Message",Normal,"          P/Invoke 'RhCompatibleReentrantWaitAny' with [DllImport(ExactSpelling=true)] resolved to '[MRT]!RhCompatibleReentrantWaitAny'."
